fixture_name,fixture_software_version,operator_id,timestamd,colors,asset_name,fov_v_deg,fov_h_deg,grill orientation,spatial_frequency_apd,spatial_period_lea_px,ctf_percent,michelson_percentile_min,michelson_percentile_max
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,-2.8,2.8,h,8.45cpd,4pixel,23.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,-2.8,5.6,v,8.45cpd,4pixel,9.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,-2.8,5.6,h,8.45cpd,4pixel,16.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,0,-5.6,v,8.45cpd,4pixel,15.000001,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,0,-5.6,h,8.45cpd,4pixel,33.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,0,-2.8,v,8.45cpd,4pixel,13.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,0,-2.8,h,8.45cpd,4pixel,34.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,0,0,v,8.45cpd,4pixel,11.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,0,0,h,8.45cpd,4pixel,28.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,0,2.8,v,8.45cpd,4pixel,13.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,0,2.8,h,8.45cpd,4pixel,24.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,0,5.6,v,8.45cpd,4pixel,9.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,0,5.6,h,8.45cpd,4pixel,15.000001,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,2.8,-5.6,v,8.45cpd,4pixel,11.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,2.8,-5.6,h,8.45cpd,4pixel,20.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,2.8,-2.8,v,8.45cpd,4pixel,10.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,2.8,-2.8,h,8.45cpd,4pixel,21.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,2.8,0,v,8.45cpd,4pixel,12.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,2.8,0,h,8.45cpd,4pixel,15.000001,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,2.8,2.8,v,8.45cpd,4pixel,11.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,2.8,2.8,h,8.45cpd,4pixel,14.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,2.8,5.6,v,8.45cpd,4pixel,9.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,2.8,5.6,h,8.45cpd,4pixel,13.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,5.6,-5.6,v,8.45cpd,4pixel,10.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,5.6,-5.6,h,8.45cpd,4pixel,20.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,5.6,-2.8,v,8.45cpd,4pixel,9.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,5.6,-2.8,h,8.45cpd,4pixel,18.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,5.6,0,v,8.45cpd,4pixel,11.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,5.6,0,h,8.45cpd,4pixel,17.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,5.6,2.8,v,8.45cpd,4pixel,9.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,5.6,2.8,h,8.45cpd,4pixel,15.000001,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_v_B.png,5.6,5.6,v,8.45cpd,4pixel,11.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,B,capture_2_h_B.png,5.6,5.6,h,8.45cpd,4pixel,13.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-5.6,-5.6,v,8.45cpd,4pixel,17.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-5.6,-5.6,h,8.45cpd,4pixel,28.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-5.6,-2.8,v,8.45cpd,4pixel,14.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-5.6,-2.8,h,8.45cpd,4pixel,22.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-5.6,0,v,8.45cpd,4pixel,10.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-5.6,0,h,8.45cpd,4pixel,26.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-5.6,2.8,v,8.45cpd,4pixel,13.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-5.6,2.8,h,8.45cpd,4pixel,29.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-5.6,5.6,v,8.45cpd,4pixel,12.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-5.6,5.6,h,8.45cpd,4pixel,33.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-2.8,-5.6,v,8.45cpd,4pixel,16.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-2.8,-5.6,h,8.45cpd,4pixel,44.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-2.8,-2.8,v,8.45cpd,4pixel,12.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-2.8,-2.8,h,8.45cpd,4pixel,44.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-2.8,0,v,8.45cpd,4pixel,10.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-2.8,0,h,8.45cpd,4pixel,41.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-2.8,2.8,v,8.45cpd,4pixel,12.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-2.8,2.8,h,8.45cpd,4pixel,30.000002,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,-2.8,5.6,v,8.45cpd,4pixel,12.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,-2.8,5.6,h,8.45cpd,4pixel,18.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,0,-5.6,v,8.45cpd,4pixel,17.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,0,-5.6,h,8.45cpd,4pixel,37.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,0,-2.8,v,8.45cpd,4pixel,13.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,0,-2.8,h,8.45cpd,4pixel,43.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,0,0,v,8.45cpd,4pixel,10.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,0,0,h,8.45cpd,4pixel,44.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,0,2.8,v,8.45cpd,4pixel,11.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,0,2.8,h,8.45cpd,4pixel,40.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,0,5.6,v,8.45cpd,4pixel,10.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,0,5.6,h,8.45cpd,4pixel,33.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,2.8,-5.6,v,8.45cpd,4pixel,18.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,2.8,-5.6,h,8.45cpd,4pixel,26.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,2.8,-2.8,v,8.45cpd,4pixel,11.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,2.8,-2.8,h,8.45cpd,4pixel,22.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,2.8,0,v,8.45cpd,4pixel,15.000001,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,2.8,0,h,8.45cpd,4pixel,17.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,2.8,2.8,v,8.45cpd,4pixel,10.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,2.8,2.8,h,8.45cpd,4pixel,17.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,2.8,5.6,v,8.45cpd,4pixel,13.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,2.8,5.6,h,8.45cpd,4pixel,21.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,5.6,-5.6,v,8.45cpd,4pixel,15.000001,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,5.6,-5.6,h,8.45cpd,4pixel,27.000002,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,5.6,-2.8,v,8.45cpd,4pixel,12.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,5.6,-2.8,h,8.45cpd,4pixel,23.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,5.6,0,v,8.45cpd,4pixel,16.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,5.6,0,h,8.45cpd,4pixel,21.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,5.6,2.8,v,8.45cpd,4pixel,9.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,5.6,2.8,h,8.45cpd,4pixel,21.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_v_G.png,5.6,5.6,v,8.45cpd,4pixel,12.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,G,capture_2_h_G.png,5.6,5.6,h,8.45cpd,4pixel,18.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-5.6,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-5.6,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-5.6,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-5.6,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-5.6,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-5.6,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-5.6,2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-5.6,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-5.6,5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-5.6,5.6,h,8.45cpd,4pixel,38.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-2.8,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-2.8,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-2.8,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-2.8,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-2.8,0,v,8.45cpd,4pixel,17.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-2.8,0,h,8.45cpd,4pixel,46.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-2.8,2.8,v,8.45cpd,4pixel,11.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-2.8,2.8,h,8.45cpd,4pixel,40.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,-2.8,5.6,v,8.45cpd,4pixel,10.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,-2.8,5.6,h,8.45cpd,4pixel,26.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,0,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,0,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,0,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,0,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,0,0,v,8.45cpd,4pixel,18.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,0,0,h,8.45cpd,4pixel,54.000004,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,0,2.8,v,8.45cpd,4pixel,9.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,0,2.8,h,8.45cpd,4pixel,50.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,0,5.6,v,8.45cpd,4pixel,14.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,0,5.6,h,8.45cpd,4pixel,38.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,2.8,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,2.8,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,2.8,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,2.8,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,2.8,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,2.8,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,2.8,2.8,v,8.45cpd,4pixel,8.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,2.8,2.8,h,8.45cpd,4pixel,27.000002,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,2.8,5.6,v,8.45cpd,4pixel,16.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,2.8,5.6,h,8.45cpd,4pixel,31.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,5.6,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,5.6,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,5.6,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,5.6,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,5.6,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,5.6,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,5.6,2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,5.6,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_v_R.png,5.6,5.6,v,8.45cpd,4pixel,16.0,21,79,
Ver.1,Ver.1,Mason,1691985271.90438,R,capture_2_h_R.png,5.6,5.6,h,8.45cpd,4pixel,23.0,21,79,
